step	post	like	prior	mu1	mu2	gamma	pi	spa1	spa2	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
5000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.515268585028729	0.000218864449362	0.000062255587214	0.284448147677287	0.138096987260659	0.000000000000000	0.000000000000000	-5	3	3	2	0	2	4	14	3	-4	1	-3	-6	8	3	9	15	12	1	-6	9	5	-4	-3	-3	-4	11	11	-3	5	3	-1	8	7	8	8	2	2	1	-6	5	4	0	0	4	8	-6	4	3	10	-1	3	8	10	-5	-4	2	-1	-5	-2	0	5	-4	8	0	-3	14	15	-3	12	5	-4	-3	6	2	1	1	0	-4	14	22	1	7	14	-4	2	-4	5	3	-5	11	-2	10	-1	0	-2	6	6	1	5	10	8	2	3	7	-1	29	2	2	8	1	1	-6	-5	28	-2	73	37	73	0	94	0	19	8	64	3	89	22	26	98	57	9	102	100	84	75	48	111	50	61	97	86	15	35	36	83	49	57	106	6	45	43	79	104	68	23	89	17	36	48	11	61	63	92	75	98	92	90	107	24	83	43	78	90	114	48	63	114	94	40	73	66	67	90	76	64	59	12	32	112	44	45	59	39	44	110	107	65	10	47	95	19	78	15	58	26	95	68	53	109	94	101	14	47	107	23	114	105	32	32	48	33	0	4	19	0	64	4	38	55	0	35	4	6	1	1	2	1	9	7	5	3	3	8	1	7	5	9	4	5	6	10	11	4	2	5	2	4	9	7	15	13	9	1	2	6	6	6	7	5	1	4	8	6	16	6	15	13	4	2	13	1	4	10	7	9	15	4	7	7	13	10	3	14	7	14	12	2	15	14	6	3	8	13	15	15	6	12	15	3	10	3	15	9	3	3	1	13	2	5	2	5	9	9	13	11	5	5	13	2	13	2	13	12	14	12	14	9	1	15	4	1	11	6	9	9	1	5
5500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.569278933376779	0.000231154720434	0.000058762033016	0.254210828600165	0.145565440018226	0.000000000000000	0.000000000000000	9	3	-1	1	-6	11	2	6	10	2	1	2	3	5	10	3	9	3	-3	8	-1	-5	-3	6	-2	13	8	7	2	3	11	10	6	-3	-4	11	0	8	2	1	13	2	14	11	3	4	-5	-3	-5	7	3	3	7	-6	5	4	-4	-6	-2	-3	-4	8	13	-6	8	13	-2	9	1	-1	8	1	-2	-4	-2	-4	2	3	2	5	20	9	5	21	-2	6	-4	-6	-5	6	6	3	-4	-6	-1	11	2	-5	-1	-3	5	16	9	17	5	6	15	-5	9	28	4	8	9	-5	17	12	101	69	52	0	90	0	51	18	65	17	43	55	114	6	72	107	47	3	95	49	79	44	105	95	9	17	50	61	96	18	19	62	79	28	15	113	13	90	13	113	71	57	103	79	82	17	23	16	37	54	73	16	105	97	39	57	83	94	82	52	113	66	116	58	8	20	33	90	62	1	106	3	22	4	59	40	116	44	98	37	107	11	8	107	112	40	101	34	114	78	90	52	96	78	69	32	25	4	69	15	22	14	70	91	3	72	0	46	67	0	78	94	104	108	0	19	3	5	2	1	4	1	4	3	9	3	4	11	7	10	10	8	5	3	9	10	7	12	8	10	5	6	7	1	15	13	4	8	9	9	4	2	6	3	6	3	11	6	16	13	15	3	8	1	13	4	11	1	3	12	15	2	5	5	13	5	1	14	12	14	9	8	15	14	6	7	4	13	15	15	6	4	15	7	9	8	15	2	1	7	12	10	3	1	4	7	12	10	13	6	5	7	13	2	8	5	9	12	14	12	2	5	1	15	6	1	13	8	8	5	1	4
6000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.546308912979735	0.000227690604620	0.000060592016772	0.266115577642257	0.133482570831492	0.000000000000000	0.000000000000000	2	0	13	2	7	5	8	6	2	6	-6	1	3	2	4	-3	15	-6	8	3	-4	9	-3	-6	9	11	15	-4	-3	5	4	-4	-2	5	-1	0	-3	6	-4	7	7	1	4	1	5	-5	1	3	-6	3	16	-1	5	2	4	11	2	16	1	8	-5	3	-2	3	-5	4	-3	1	-4	-6	4	11	-3	3	6	-2	5	7	0	8	13	7	4	-1	3	11	3	-1	-4	6	6	13	10	15	5	1	6	1	4	6	4	1	7	1	9	5	11	-1	-3	27	4	3	1	-1	34	5	71	40	79	0	52	0	59	11	38	40	102	13	10	3	85	49	115	87	48	25	5	103	71	44	100	91	1	54	65	38	55	79	28	25	80	75	3	96	4	36	75	4	58	101	97	25	100	27	100	22	100	31	14	63	44	86	98	81	106	17	42	100	25	101	107	46	91	19	114	63	67	78	84	21	77	24	55	73	59	114	107	16	81	29	34	99	59	17	13	37	21	3	46	10	87	75	85	37	50	73	21	70	65	1	8	21	0	92	101	0	56	104	2	66	0	97	1	6	4	1	3	1	3	4	8	8	9	11	11	7	3	8	5	8	6	9	8	2	5	5	10	12	4	8	15	11	3	5	7	7	13	1	13	5	14	1	15	9	16	13	15	7	10	11	8	13	2	6	7	11	14	2	7	6	13	1	7	8	5	8	12	9	15	14	6	8	7	12	15	15	13	6	15	7	1	4	15	12	2	14	12	11	11	10	7	1	7	2	6	2	2	6	8	7	8	13	3	4	14	4	2	1	1	15	9	1	13	1	5	1	1	8
6500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.435794884832899	0.000194724165505	0.000068380054374	0.351163679125978	0.123096123757366	0.000000000000000	0.000000000000000	0	4	-3	1	-3	4	0	-6	23	-1	10	-3	-5	6	4	4	10	-6	4	-6	-5	6	2	11	18	8	-3	-2	2	1	7	10	1	4	1	5	3	-1	0	1	11	2	-2	-5	4	-1	-1	11	3	-6	10	13	-6	15	-1	4	15	-1	10	10	4	2	0	3	11	-2	4	6	1	2	-3	10	2	0	-4	13	-4	2	7	-4	16	-6	7	-5	2	5	-5	12	-2	3	-2	6	17	-4	2	6	5	-3	-3	0	0	15	9	4	-6	8	16	-3	-4	16	7	-4	-3	10	13	-1	36	80	68	0	111	0	73	67	96	57	113	104	57	74	63	2	17	80	99	65	85	47	112	29	76	34	65	91	7	2	94	69	57	64	85	2	22	94	56	82	67	62	39	70	51	31	106	92	107	2	44	62	104	80	106	112	25	4	31	51	87	10	25	42	68	66	39	22	65	82	67	45	99	66	111	16	49	3	115	34	44	65	109	6	72	87	72	62	32	39	59	7	12	52	13	47	86	14	34	67	62	72	100	45	74	16	0	10	44	0	79	14	33	98	0	96	4	6	6	1	6	1	4	6	11	6	4	5	5	1	3	11	8	7	9	6	4	12	9	7	3	11	13	3	1	8	13	2	2	4	10	4	13	2	14	15	9	4	16	13	15	14	9	11	5	13	3	2	11	12	14	7	2	6	13	11	9	1	8	3	7	8	14	4	4	1	4	13	15	15	11	10	15	11	6	6	15	12	5	3	13	12	13	16	10	8	7	6	7	8	15	8	3	2	13	12	1	11	14	4	10	11	1	15	10	1	13	9	3	3	1	5
7000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.512390173850146	0.000213551455456	0.000061140712255	0.286304357536383	0.130983937442900	0.000000000000000	0.000000000000000	3	-5	4	4	5	10	6	11	-4	-2	15	-1	7	4	2	3	1	11	4	1	12	2	3	4	5	4	-2	11	-2	4	12	1	13	-4	12	2	0	0	-2	5	-2	12	2	3	-4	8	0	5	0	-2	2	-3	12	4	-3	9	13	8	1	0	5	-5	0	7	-2	9	5	-6	6	11	-5	3	-3	-5	11	6	-2	3	-6	0	2	6	-4	-6	0	13	-6	8	-1	1	2	-2	-2	-6	-5	-5	0	-3	0	-1	8	0	5	7	3	-3	23	14	0	1	3	9	-3	4	15	14	89	20	96	0	82	0	68	15	69	46	97	17	23	25	46	38	1	47	2	56	3	80	9	37	49	87	33	90	55	112	42	54	35	84	61	57	2	93	42	93	35	108	44	2	107	44	116	88	15	76	36	100	95	95	34	111	83	70	73	61	56	62	64	83	109	93	25	21	89	23	64	59	21	47	93	116	106	4	12	85	86	113	90	93	36	103	76	6	50	115	77	75	4	91	73	69	103	18	12	41	21	22	38	72	108	35	0	30	64	0	6	95	107	34	0	84	1	5	1	1	6	1	1	9	5	5	9	8	7	4	7	11	3	8	6	6	2	11	6	8	8	11	13	1	6	3	10	2	4	4	11	16	7	6	14	15	8	9	16	12	15	14	11	11	3	13	4	5	8	5	12	16	3	12	5	6	1	5	8	13	9	10	7	6	2	7	3	13	15	15	1	1	15	1	8	3	15	16	3	5	13	12	13	16	2	2	9	6	8	7	15	10	12	1	13	14	8	2	14	9	9	16	1	15	13	1	13	11	13	3	1	4
7500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.439695299963435	0.000195229709114	0.000067710551388	0.346825038543371	0.135578485259771	0.000000000000000	0.000000000000000	-3	5	3	-5	-2	-3	2	14	-2	-3	0	0	-1	11	11	-6	-6	0	1	-5	2	9	5	5	0	-3	-3	18	5	-6	0	5	-5	-5	-4	12	-1	7	11	0	-3	8	-2	6	9	3	-5	4	2	-2	6	-2	3	0	16	2	4	1	8	5	9	0	3	10	3	-4	3	12	3	-5	10	2	0	-3	-6	10	0	6	-3	-1	3	-2	14	-3	-2	-1	4	1	2	0	0	-2	1	1	-3	-6	1	0	-4	-4	-1	6	1	12	-4	7	28	1	-6	-6	2	-2	7	4	16	-1	8	23	19	0	86	0	59	98	69	12	38	65	43	107	68	64	16	50	26	86	56	37	34	38	92	100	64	29	44	2	109	62	5	39	33	49	62	41	97	33	99	83	69	73	55	19	43	82	73	41	24	99	31	3	25	7	2	52	65	99	97	33	24	37	78	37	7	28	46	114	10	57	101	115	37	9	110	83	82	65	66	103	96	116	11	49	57	23	68	22	75	13	15	53	107	78	106	81	52	6	83	85	91	106	65	13	0	65	92	0	2	11	36	85	0	16	1	4	1	1	5	1	3	3	4	6	6	4	10	6	7	10	4	14	8	5	2	10	1	1	5	3	6	7	6	1	5	12	6	9	11	16	11	6	14	15	10	9	16	8	15	14	13	3	9	12	5	1	14	2	14	16	10	8	8	7	11	8	13	11	6	1	3	12	1	3	2	12	15	15	3	3	15	10	12	8	15	16	11	5	5	5	13	16	7	6	12	4	10	14	15	11	13	9	13	14	4	7	14	1	3	16	1	15	1	1	13	6	5	8	1	1
8000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.539170251046354	0.000223232410811	0.000060291046545	0.270081957748746	0.115788226086609	0.000000000000000	0.000000000000000	2	0	6	1	13	9	10	10	-5	1	2	-5	4	-6	5	-2	-3	-3	17	7	-6	5	2	9	-1	-4	-6	-3	2	4	6	-2	-1	-3	-1	5	-1	4	-4	-4	12	13	1	-3	-5	-1	6	2	-5	1	-3	12	-2	1	7	-1	-2	2	9	-5	17	-5	11	4	5	4	0	7	9	10	-3	5	11	13	9	-2	1	3	1	-6	11	7	0	1	-2	6	-3	10	-6	1	4	-3	-4	-1	7	-3	15	-6	2	-4	9	2	2	1	6	-1	25	13	-2	1	11	4	8	5	-4	-5	84	22	3	0	71	0	27	14	23	69	3	60	3	32	62	32	115	38	101	16	4	68	55	82	48	78	51	49	14	17	2	23	11	22	82	27	16	106	40	42	83	29	30	105	23	56	115	38	39	30	79	34	72	20	19	65	91	115	7	56	36	110	76	58	101	94	91	36	102	48	16	29	111	59	107	71	81	25	10	77	16	58	66	17	72	85	110	49	56	90	51	72	58	2	59	28	5	108	71	15	107	105	70	84	94	68	0	88	33	0	98	67	105	47	0	28	3	4	4	1	1	1	9	4	6	1	2	8	7	2	10	13	11	14	11	2	5	1	8	7	9	4	5	5	3	1	9	5	1	13	7	16	11	12	14	15	13	5	16	3	15	9	13	4	6	7	11	3	6	8	14	16	6	5	1	5	6	5	13	11	5	1	11	3	3	6	7	8	15	15	7	6	15	11	12	8	15	16	8	4	3	7	13	16	11	9	12	6	9	14	15	11	13	2	13	14	10	13	14	10	2	16	1	15	11	1	13	9	6	6	1	2
8500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.529168827627479	0.000190294611707	0.000052498196366	0.275878522753884	0.112794869321897	0.000000000000000	0.000000000000000	2	-3	-1	1	3	3	-4	7	0	-2	-3	0	6	3	-1	2	-5	-5	10	1	1	4	4	4	0	9	-5	-2	0	18	1	0	15	-5	5	7	-4	-4	2	15	6	1	6	-2	18	1	-1	0	3	-6	8	10	7	9	-3	4	-3	1	-2	-4	-2	3	11	9	-1	3	2	-4	3	-3	6	-6	10	7	0	5	-5	-3	3	-5	-6	4	0	8	17	-3	12	14	-1	6	2	-1	15	6	-6	8	5	-5	-5	-6	0	11	0	2	-2	-4	20	0	-6	7	1	-5	3	-5	0	4	28	108	111	0	48	0	38	112	3	43	99	1	55	66	91	33	16	74	50	18	57	97	61	17	89	11	41	91	35	115	97	88	68	2	87	41	57	8	23	74	99	71	77	5	15	84	96	114	94	29	73	13	63	19	12	30	35	73	63	49	17	63	76	40	116	52	48	106	16	64	30	8	71	95	108	114	57	106	39	87	101	69	69	5	116	29	4	44	9	13	71	106	79	32	62	1	107	106	116	116	104	29	109	15	40	82	0	103	109	0	2	110	114	3	0	30	5	5	5	1	7	1	8	7	9	7	5	5	7	6	3	5	2	14	6	10	8	8	10	5	7	10	2	12	9	1	2	3	10	12	4	16	4	12	14	15	13	6	16	10	15	11	13	4	14	12	12	7	12	8	14	16	2	11	14	7	6	4	13	7	1	11	11	5	8	12	11	13	15	15	4	9	15	10	11	14	14	16	10	6	8	2	7	16	11	9	1	12	6	12	11	11	13	11	10	14	5	3	14	2	11	16	1	15	1	1	13	6	4	10	1	7
9000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.469826024910017	0.000169158453111	0.000053770297013	0.317869406017973	0.120454826698218	0.000000000000000	0.000000000000000	-4	4	5	-3	1	0	6	6	-2	-1	11	1	2	-5	0	-1	5	2	2	8	7	9	1	-6	-2	-3	8	-3	-4	-5	4	5	-4	8	4	13	5	6	-5	-5	4	-6	1	3	0	2	10	-2	6	14	0	22	1	3	-5	3	-2	3	-1	2	5	-3	9	-4	-6	1	4	-3	9	0	2	4	0	4	14	6	-6	1	-4	2	10	-4	-2	4	-6	12	6	-2	2	3	3	3	-2	0	1	5	4	-5	2	13	5	-1	3	3	-5	4	12	1	-2	10	14	-6	4	-2	7	8	15	70	34	0	98	0	102	75	104	20	25	100	76	48	93	6	40	94	50	100	57	33	102	55	85	35	65	100	112	63	93	106	87	83	53	111	9	114	22	7	61	53	71	9	1	86	56	96	38	72	30	8	100	100	15	113	22	24	15	50	76	10	85	114	89	16	104	103	110	1	44	30	15	23	10	80	39	76	90	13	89	84	80	51	48	56	113	93	81	72	88	21	22	43	90	24	28	52	107	62	27	64	55	48	26	65	0	91	108	0	115	116	90	63	0	74	1	2	3	1	3	1	7	7	6	8	3	9	6	8	8	6	11	14	3	5	14	7	13	6	6	2	4	2	7	6	13	3	7	12	1	16	10	11	14	15	9	11	16	7	15	8	11	14	15	10	12	6	12	14	14	16	13	10	14	5	3	14	13	12	3	1	9	8	13	12	9	5	15	15	2	10	15	1	11	14	14	16	7	12	6	9	10	16	1	14	5	12	6	12	13	4	13	9	2	14	11	5	14	5	6	16	1	15	7	1	16	1	7	1	1	13
9500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.524923848808215	0.000185560853110	0.000051665568230	0.278429244983107	0.100994389485227	0.000000000000000	0.000000000000000	1	10	1	0	4	4	8	-4	-3	11	0	-3	-1	-2	11	8	-3	-3	16	6	-4	15	-3	1	-2	-3	-6	0	1	2	9	11	-1	-6	5	10	12	1	2	-1	0	-5	17	4	10	0	5	3	-1	-5	-5	1	1	-3	-4	12	0	0	1	-5	7	-3	-5	11	0	10	7	2	10	6	-4	-5	4	9	-3	4	-6	4	1	1	11	-4	9	7	-3	-4	2	3	2	-5	7	-5	5	-1	12	4	-4	13	19	-3	-3	6	-3	-5	4	2	21	7	3	8	19	-4	10	-3	9	8	77	12	90	0	85	0	79	20	24	65	29	75	62	42	7	22	29	64	16	108	67	74	43	96	73	63	4	48	28	67	2	103	38	108	72	111	64	6	82	88	112	61	30	109	11	98	96	60	68	78	94	71	85	23	20	7	24	14	14	42	11	30	116	80	9	76	68	62	23	55	76	110	44	91	29	109	11	62	42	56	53	8	81	14	71	106	106	26	41	49	106	13	82	94	2	53	6	65	103	77	55	31	15	73	100	92	0	50	13	0	115	12	14	58	0	10	2	3	1	1	2	1	6	7	1	11	8	9	9	4	14	1	6	14	10	7	14	11	5	10	7	12	6	5	6	6	13	1	1	12	3	16	9	4	14	15	10	5	16	9	15	2	5	14	15	1	8	12	5	14	14	16	1	4	14	10	12	12	13	3	12	4	6	1	1	7	13	6	15	15	3	11	9	8	11	14	14	16	6	12	13	17	12	16	3	12	1	4	3	17	1	3	13	17	10	14	11	12	11	9	14	16	1	15	1	1	16	11	9	12	1	13
10000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.531860472542451	0.000192258227835	0.000052734461149	0.274289749484214	0.120518089120907	0.000000000000000	0.000000000000000	0	2	1	-1	-2	8	12	1	4	4	-1	1	-6	2	1	-4	-2	7	14	-2	6	0	16	11	2	15	5	3	18	1	-2	-6	17	0	9	12	6	-4	-2	12	2	7	9	-1	14	-3	3	4	9	4	3	10	5	0	8	6	-6	2	-3	2	4	-2	-3	15	-6	-4	-2	-5	-1	-6	-1	5	4	15	-6	3	12	-3	11	-4	17	-1	-5	-2	2	-4	11	17	10	13	-4	7	15	5	9	6	-2	4	3	-6	6	-4	10	-4	1	6	9	-4	11	-2	1	-6	-4	-5	26	0	8	12	114	0	66	0	86	4	41	10	8	82	71	26	15	34	39	16	29	75	91	97	100	32	48	30	72	15	105	4	59	20	68	24	52	114	25	45	62	100	4	111	73	23	19	66	23	28	29	34	41	100	82	28	59	7	80	88	4	62	76	110	6	47	105	31	103	61	7	116	95	89	90	35	5	65	103	83	71	38	2	59	97	105	20	107	86	90	5	13	91	12	78	101	88	107	104	116	5	22	53	89	9	81	102	97	0	97	74	0	103	112	99	85	0	80	4	1	2	1	7	1	8	1	2	10	13	5	1	1	14	8	1	14	4	10	14	12	7	9	3	12	1	9	14	3	11	11	4	10	7	16	5	4	10	15	6	7	16	3	10	3	11	14	15	8	9	12	4	14	14	16	8	5	14	11	11	1	13	7	12	8	5	14	1	8	13	8	15	15	10	8	2	12	4	14	14	16	15	9	10	17	7	16	11	12	4	11	8	17	6	8	13	17	10	14	11	9	7	1	14	16	1	15	7	1	16	3	7	6	1	13
10500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.508817711983041	0.000198333186153	0.000057248868138	0.288649969517982	0.096803585479564	0.000000000000000	0.000000000000000	-6	1	-3	0	-3	2	-6	1	10	16	2	7	-6	20	6	9	-1	12	6	5	7	0	15	-6	6	-5	-3	-1	-4	-3	11	12	-4	6	1	-2	-6	10	3	1	8	-3	13	-1	-2	4	8	-4	5	-4	14	15	-5	-4	-4	2	-3	-3	7	-2	22	1	7	-6	0	1	5	5	18	1	8	1	4	-3	4	-6	2	7	2	-4	-3	-3	-2	16	-2	-4	5	7	9	-3	-5	-6	-1	-4	0	4	0	-4	8	7	2	-6	11	2	-2	1	4	7	-6	-6	8	7	0	-5	23	7	101	68	34	0	88	0	34	88	70	53	70	105	57	100	91	19	70	49	21	25	88	43	91	61	110	23	82	50	29	51	81	110	18	72	26	107	2	104	60	63	36	58	51	69	98	90	60	4	114	54	18	41	41	56	44	4	77	20	93	84	64	61	12	18	88	68	74	10	10	100	43	94	1	20	116	63	7	84	84	47	4	62	77	49	2	84	96	12	70	21	8	61	78	1	78	38	107	35	18	45	104	23	45	41	108	113	0	88	8	0	25	48	50	53	0	61	3	3	3	1	2	1	6	1	4	5	13	9	12	2	14	7	5	14	10	5	14	5	10	5	4	12	11	4	14	4	8	7	3	2	12	16	10	9	10	15	11	5	16	5	12	8	2	14	15	1	7	5	11	14	14	16	4	10	14	11	2	6	1	11	12	11	12	14	8	11	1	6	15	15	3	13	8	3	9	14	14	16	15	2	10	17	14	16	11	10	12	3	7	17	2	5	3	17	6	5	11	5	1	10	3	15	1	15	9	1	16	4	10	10	1	2
11000	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.531994399565270	0.000217944224795	0.000059762761275	0.274211263597653	0.119950138023783	0.000000000000000	0.000000000000000	-5	-2	2	4	-6	2	9	10	-2	9	5	-2	-6	-2	13	0	0	11	1	9	10	5	-6	-1	1	2	-1	12	-1	-3	8	-5	-6	7	-3	-6	1	-3	1	-6	-1	6	2	11	5	2	1	-2	-5	0	-3	4	3	8	-1	8	10	-2	-6	4	-6	-6	-3	-6	-6	11	-3	13	4	17	-3	-3	9	4	-2	3	-4	-1	7	10	0	15	5	1	14	7	10	15	6	4	8	6	4	0	7	-1	-1	-6	-5	8	0	18	9	18	-2	9	-1	4	7	6	19	-1	16	4	5	-5	26	112	61	0	113	0	91	28	67	90	34	112	51	15	84	36	5	78	61	11	4	52	83	30	10	67	52	46	67	20	82	41	30	52	61	16	69	113	4	2	99	36	72	1	57	7	73	31	29	75	44	99	109	89	96	91	48	28	78	4	112	81	32	45	4	28	110	30	53	38	108	76	43	39	109	96	14	100	97	54	101	85	8	79	32	109	55	56	106	112	49	35	97	74	32	70	94	55	60	16	32	25	18	84	18	94	0	103	25	0	15	18	113	17	0	66	3	1	6	1	1	1	6	8	5	11	5	9	10	6	14	4	7	14	6	10	14	5	12	2	2	12	6	8	14	1	5	8	5	3	12	16	5	2	9	15	4	2	16	8	4	11	13	10	15	3	4	2	6	14	14	16	11	10	14	5	6	4	11	9	10	11	9	14	4	10	6	6	3	15	11	13	12	5	10	14	14	16	15	2	10	17	14	16	10	10	13	6	7	17	7	6	5	17	12	9	11	9	6	4	11	13	1	15	12	1	16	3	6	6	1	2
11500	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	-1.498542045329303	0.000205488993065	0.000060757264610	0.295671625540386	0.118377426279836	0.000000000000000	0.000000000000000	3	-5	10	-4	1	7	-3	4	-2	2	8	2	-4	2	4	-1	-4	14	9	0	7	1	-4	11	16	-3	15	8	2	-2	-1	-2	15	-5	8	5	-1	-3	-5	13	0	8	2	-5	-6	6	-4	1	2	2	0	18	-1	1	3	4	-4	-4	-1	-3	15	-3	5	5	12	-5	1	-4	10	1	-6	-4	-3	0	-6	-6	-5	-4	-3	0	14	-2	5	15	4	-2	1	5	10	10	0	3	-2	1	13	4	14	16	-2	1	3	8	-2	-1	-1	-1	2	4	-1	8	-1	10	-5	-6	-2	0	16	70	34	0	41	0	104	14	17	39	89	18	59	76	63	114	26	62	62	66	43	96	12	59	62	96	111	89	92	46	51	113	44	106	21	85	41	71	40	104	36	95	111	17	48	105	71	50	47	49	10	22	26	87	84	60	11	98	4	108	74	54	75	110	73	59	89	69	89	82	23	4	24	68	29	31	106	29	22	35	1	25	20	94	39	17	53	79	42	88	105	65	74	53	66	39	10	1	97	10	25	62	88	113	74	100	0	2	70	0	110	95	34	108	0	34	4	4	5	1	8	1	6	1	5	5	8	5	8	6	14	9	11	14	11	5	14	2	5	13	10	2	12	8	7	13	9	6	7	5	5	10	13	4	3	15	9	5	16	13	1	13	2	9	15	4	4	7	12	14	11	16	12	10	14	2	7	15	7	6	4	4	2	14	7	3	11	3	2	1	3	14	14	5	16	14	14	16	15	9	12	17	14	16	5	9	5	1	1	17	9	11	5	17	14	8	1	1	4	9	2	13	1	15	7	1	16	5	2	2	1	8
